COD_APO;COD_ENDOSSO;DATA_COMP;COD_END;ITEM;TIPO_PES;MODALIDADE;TIPO_PROD;COBERTURA;COD_MODELO;ANO_MODELO;COD_TARIF;REGIAO;COD_CONT;TIPO_FRANQ;VAL_FRANQ;PERC_FATOR;TAB_REF;IS_CASCO;IS_RCDMAT;IS_RCDC;IS_RCDMOR;IS_APP_MA;IS_APP_IPA;IS_APP_DMH;PRE_CASCO;PRE_CAS_CO;PRE_RCDMAT;PRE_RCDC;PRE_RCDMOR;PRE_APP_MA;PRE_APP_IA;PRE_APP_DM;PRE_OUTROS;INICIO_VIG;FIM_VIG;PERC_BONUS;CLAS_BONUS;PERC_CORR;SEXO;DATA_NASC;TEMPO_HAB;UTILIZACAO;CEP_UTIL;CEP_PER;DATA_EMIS;SINAL
148956509;708049700;2019B;0;0;F;1;2;1;015088-6;2017;10;21;1;1;17330;1000;2;447680;500000;500000;0;250000;250000;0;15050;0;4120;820;0;80;80;0;1200;20180110;20190110;30;7;220;F;19730902;0;0;41770000;41770000;20180111;
148956509;708049701;2019B;2;0;F;1;2;1;015088-6;2017;10;21;1;1;17330;1000;2;447680;500000;500000;0;250000;250000;0;-14830;0;-4120;-820;0;-70;-70;0;-1200;20180110;20190110;30;7;220;M;19730902;0;0;41770000;41770000;20180112;
79993347;708049702;2019B;0;0;F;1;2;1;004464-4;2016;22;22;1;1;28880;1000;2;1506010;1000000;1000000;0;250000;250000;0;43480;0;3250;650;0;120;120;0;1300;20180110;20190110;10;1;100;M;19640706;0;0;49160000;49160000;20180111;
120580815;708049705;2019B;0;0;F;1;2;1;004469-5;2016;10;22;1;1;17060;1000;2;939580;1000000;1000000;50000;250000;250000;0;16120;0;2870;570;410;90;90;0;2400;20180111;20190111;30;9;200;M;19680526;0;0;49095000;49095000;20180111;
67453948;708049708;2019B;0;0;F;1;2;1;015126-2;2016;10;27;1;1;15750;1000;2;417610;1000000;750000;0;0;0;0;14370;0;2140;400;0;0;0;0;1260;20180126;20190126;10;1;150;M;19750220;0;0;62780000;62780000;20180111;
113024549;708049715;2019B;0;0;F;1;2;1;024157-1;2011;10;22;1;1;16800;1000;2;234100;750000;750000;0;0;0;0;15450;0;3840;760;0;0;0;0;860;20180111;20190111;0;0;100;F;19760520;0;0;49030000;49030000;20180111;
274327100;708049751;2019B;0;0;F;1;2;1;015144-0;2017;15;21;1;1;24680;1000;2;902460;750000;750000;0;250000;250000;0;15220;0;2250;450;0;90;90;0;1640;20180114;20190114;30;9;150;F;19721009;0;0;42840000;42840000;20180111;
239509344;708049758;2019B;0;0;F;1;2;1;002111-3;2015;10;22;1;1;21790;1000;2;797180;750000;500000;0;250000;250000;0;24900;0;3690;690;0;140;140;0;1200;20180111;20190111;0;0;100;M;19690526;0;0;49000000;49000000;20180111;
149917429;708049767;2019B;0;0;J;1;1;1;002093-1;2010;23;21;1;1;35620;1000;2;840490;1000000;1000000;0;250000;250000;0;25160;0;4800;960;0;120;120;0;5250;20180112;20190112;30;9;190;0;0;0;0;41925000;41925000;20180111;
199306746;708049782;2019B;0;0;F;1;2;1;015088-6;2016;10;22;1;1;15750;1000;2;374140;800000;800000;0;250000;250000;0;6390;0;2590;510;0;110;110;0;950;20180113;20190113;30;9;100;M;19361030;0;0;49015000;49015000;20180112;
188122477;708049799;2019B;1;0;F;1;2;1;015103-3;2016;10;22;1;1;18480;1000;2;598940;1000000;500000;0;0;0;0;1800;0;-370;-60;0;0;0;0;10;20180828;20190112;20;3;120;M;19390526;0;0;49026000;49026000;20180828;
46045055;708049803;2019B;1;0;F;1;2;1;004423-7;2015;10;26;1;1;13130;1000;2;336560;700000;500000;0;0;0;0;4370;0;100;10;0;0;0;0;10;20180327;20190110;30;5;200;F;19800313;0;0;57100000;57100000;20180329;
195501596;708049812;2019B;0;0;J;1;1;1;004339-7;2007;10;22;1;1;12600;1000;2;177040;500000;500000;50000;250000;250000;0;6290;0;1060;210;230;120;120;0;1020;20180113;20190113;30;6;150;0;0;0;0;49600000;49600000;20180112;
186477980;708049814;2019B;0;0;F;1;1;1;023109-6;2011;10;22;1;1;14960;1000;2;248700;500000;500000;0;0;0;0;13490;0;4780;950;0;0;0;0;1020;20180113;20190113;10;1;150;F;0;0;0;49027000;49027000;20180112;
80368827;708049819;2019B;1;0;F;1;2;1;002143-1;2018;23;22;1;1;58900;1000;2;1649750;1000000;1000000;0;250000;250000;0;4240;0;-520;-100;0;0;0;0;20;20180817;20190109;30;9;250;M;19510921;0;0;49015000;49015000;20180823;
116011769;708049826;2019B;0;0;F;1;2;1;033077-9;2013;23;21;1;1;65750;1000;2;1565580;700000;700000;0;500000;500000;0;31350;0;3310;660;0;170;170;0;3330;20180113;20190113;30;9;100;M;19530402;0;0;41810000;41810000;20180112;
118017764;708049844;2019B;0;0;J;1;1;1;504045-0;2011;42;21;1;2;78370;1000;2;995210;2000000;2000000;0;150000;150000;0;36380;0;7930;6160;0;240;240;0;14100;20180114;20190114;30;8;150;0;0;0;0;41211000;41211000;20180112;
230866344;708049852;2019B;0;0;F;1;2;1;004423-7;2014;10;21;1;1;13130;1000;2;338580;1000000;1000000;0;750000;750000;0;6200;0;1780;350;0;160;160;0;1540;20180112;20190112;30;9;140;M;19621224;0;0;42700000;42700000;20180112;
117029004;708049854;2019B;0;0;F;1;2;1;015093-2;2015;15;21;1;1;25430;1000;2;578700;500000;500000;100000;250000;250000;0;11620;0;4450;890;740;130;130;0;1720;20180104;20190104;30;9;220;F;19530626;0;0;41830000;41830000;20180112;
260435136;708049860;2019B;0;0;F;1;2;1;015093-2;2014;15;21;1;1;22650;1000;2;515540;1000000;1000000;0;100000;100000;0;10610;0;3090;840;0;130;130;0;2080;20180114;20190114;30;9;220;F;19650306;0;0;40295000;40295000;20180112;
267475724;708049861;2019B;0;0;F;1;2;1;004473-3;2016;10;21;1;2;26250;1000;2;360590;500000;500000;0;0;0;0;11820;0;2440;480;0;0;0;0;1920;20180111;20190111;10;1;200;M;19750817;0;0;42843000;42843000;20180112;
142884821;708049910;2019B;0;0;F;1;2;1;002133-4;2015;10;21;1;2;28880;1000;2;419320;1000000;1000000;0;500000;500000;0;6790;0;1270;320;0;210;210;0;1480;20180113;20190113;30;6;220;M;19511213;0;0;47806000;47806000;20180112;
42265352;708049924;2019B;0;0;F;1;2;1;005225-6;2012;10;26;1;2;32030;1000;2;356940;500000;500000;0;0;0;0;10250;0;2140;420;0;0;0;0;1050;20180126;20190126;15;2;150;M;19770508;0;0;57480000;57480000;20180112;
188841509;708049935;2019B;0;0;F;1;1;1;001313-7;2012;10;21;1;1;13910;1000;2;316200;500000;500000;0;0;0;0;17750;0;2940;580;0;0;0;0;850;20180117;20190117;10;1;110;M;0;0;0;48730000;48730000;20180112;
224390516;708049974;2019B;1;0;J;1;1;1;004395-8;2017;22;22;1;1;26250;0;2;1447230;1000000;1000000;0;250000;250000;0;9600;0;-820;-160;0;0;0;0;0;20180123;20190116;25;4;140;0;0;0;0;49900000;49900000;20180123;
62314947;708050045;2019B;0;0;F;1;2;1;002109-1;2013;10;21;1;2;43580;1000;2;546630;500000;500000;0;250000;250000;0;15880;0;3730;740;0;110;110;0;870;20180105;20190105;15;2;100;M;19561017;0;0;41810000;41810000;20180112;
119200770;708050061;2019B;0;0;F;1;2;1;015071-1;2010;11;21;1;2;38780;850;2;288020;500000;500000;0;0;0;0;14610;0;2320;460;0;0;0;0;1290;20180111;20190111;30;5;120;M;19821018;0;0;45435000;45435000;20180112;
119200770;708050062;2019B;1;0;F;1;2;1;025176-3;2012;10;21;1;1;15750;1000;2;286390;1000000;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;20180703;20190111;30;5;120;M;19821018;0;0;45435000;45435000;20180710;
247475865;708050070;2019B;4;0;F;1;2;1;023154-1;2017;11;11;1;1;23500;1000;2;787240;1000000;1000000;100000;500000;500000;0;0;0;0;0;0;0;0;0;0;20180929;20190111;30;8;150;M;19710425;0;0;4533000;4533000;20180928;
